table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,36.28,73.79,5.93,26.1,20.18,38.55,45.04,49.53,84.57,29.91,28.0,36.89,51.59,55.87
overall_acc,2,40.54,79.57,7.72,31.62,24.25,42.44,50.14,60.71,90.37,50.46,33.76,50.14,63.04,64.87
overall_acc,3,42.41,82.05,8.65,33.95,26.91,43.82,52.29,65.21,92.39,58.97,36.17,56.4,67.44,68.11
overall_acc,4,43.67,83.66,9.33,35.49,28.94,44.73,53.57,67.79,93.64,63.63,37.76,60.45,69.82,69.91
overall_acc,5,44.58,85.02,9.76,36.46,30.64,45.26,54.56,69.39,94.42,66.46,38.78,63.32,71.13,71.0
overall_mrr,MRR@5,39.53,78.18,7.39,30.21,23.95,41.29,48.82,57.59,88.61,44.75,32.29,47.19,59.64,62.12
