table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,69.16,93.41,54.24,56.11,71.91,68.94,67.36,78.83,97.4,75.29,58.0,79.23,79.11,77.96
overall_acc,2,73.35,95.56,60.2,60.7,75.33,73.1,72.23,81.89,98.21,79.7,62.31,82.2,82.13,81.19
overall_acc,3,74.04,95.8,61.3,61.45,75.86,73.71,73.19,82.41,98.34,80.49,63.0,82.56,82.6,81.93
overall_acc,4,74.26,95.85,61.68,61.66,75.96,73.94,73.48,82.57,98.35,80.76,63.21,82.6,82.76,82.18
overall_acc,5,74.34,95.86,61.84,61.75,75.99,74.04,73.58,82.63,98.36,80.85,63.3,82.62,82.83,82.25
overall_mrr,MRR@5,71.56,94.58,57.71,58.73,73.83,71.3,70.21,80.58,97.85,77.85,60.45,80.85,80.83,79.9
