table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,46.07,92.92,8.3,33.12,47.58,43.0,50.65,57.21,94.98,35.23,35.16,67.99,52.37,57.67
overall_acc,2,48.46,94.37,9.14,38.97,49.76,44.74,54.45,61.22,96.42,40.43,41.1,73.48,55.23,62.66
overall_acc,3,48.87,94.58,9.31,39.98,50.08,45.06,55.11,61.92,96.67,41.3,42.14,74.1,55.82,63.6
overall_acc,4,48.98,94.63,9.34,40.27,50.18,45.12,55.33,62.08,96.73,41.47,42.44,74.24,55.92,63.88
overall_acc,5,49.02,94.65,9.35,40.39,50.22,45.14,55.41,62.14,96.74,41.53,42.56,74.3,55.96,64.0
overall_mrr,MRR@5,47.44,93.73,8.79,36.48,48.81,44.0,52.84,59.5,95.8,38.17,38.58,70.99,54.03,60.57
