table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,69.6,94.24,54.61,56.09,68.53,70.71,68.36,76.94,96.13,71.43,57.96,75.38,77.86,76.45
overall_acc,2,74.7,96.28,61.95,62.35,74.94,75.15,73.65,81.26,97.74,77.5,63.62,81.23,81.43,80.97
overall_acc,3,75.89,96.73,63.8,63.65,75.83,76.4,74.96,82.27,98.03,79.0,64.94,82.0,82.44,82.15
overall_acc,4,76.29,96.81,64.47,64.14,76.11,76.8,75.47,82.58,98.08,79.49,65.38,82.16,82.78,82.54
overall_acc,5,76.46,96.83,64.77,64.35,76.23,76.99,75.64,82.73,98.09,79.74,65.6,82.23,82.96,82.71
overall_mrr,MRR@5,72.68,95.44,59.12,59.82,72.13,73.48,71.6,79.54,97.04,75.14,61.38,78.62,80.1,79.23
