table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,36.06,74.68,5.27,24.9,22.12,37.67,44.27,50.38,86.18,31.46,26.84,40.04,52.01,55.66
overall_acc,2,40.04,80.31,7.21,29.42,25.42,41.13,49.8,65.86,95.13,61.13,31.87,61.7,67.19,66.73
overall_acc,3,42.38,83.53,8.33,32.21,29.14,42.73,52.43,70.56,97.29,69.81,34.63,69.27,71.32,70.19
overall_acc,4,43.78,85.67,8.88,33.73,31.93,43.57,53.75,72.19,98.08,72.34,36.17,71.82,72.65,71.64
overall_acc,5,44.77,87.18,9.27,34.84,34.18,44.13,54.54,73.08,98.47,73.56,37.29,73.21,73.41,72.35
overall_mrr,MRR@5,39.38,79.41,6.83,28.69,26.16,40.26,48.4,60.27,91.65,50.06,30.88,54.31,61.46,62.85
