table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,70.88,94.63,56.26,58.09,70.71,72.04,68.81,78.07,96.5,72.58,60.11,77.21,78.83,77.33
overall_acc,2,75.33,96.49,62.6,63.56,75.4,75.86,74.28,81.82,97.96,77.77,65.07,81.61,81.96,81.74
overall_acc,3,76.37,96.81,64.3,64.69,76.27,76.79,75.65,82.62,98.16,78.98,66.14,82.24,82.69,82.81
overall_acc,4,76.74,96.87,64.97,65.05,76.52,77.21,76.03,82.9,98.2,79.46,66.46,82.38,83.02,83.1
overall_acc,5,76.9,96.9,65.25,65.21,76.6,77.38,76.22,83.02,98.23,79.68,66.59,82.43,83.17,83.23
overall_mrr,MRR@5,73.57,95.69,60.22,61.33,73.42,74.4,72.13,80.31,97.31,75.74,63.05,79.67,80.75,79.99
