table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,60.63,90.95,42.67,43.34,64.96,58.94,60.3,71.05,95.48,65.29,45.17,73.33,70.42,70.4
overall_acc,2,66.48,94.48,49.62,50.89,70.94,64.61,66.41,76.38,97.49,72.6,52.36,80.13,75.23,75.53
overall_acc,3,68.53,95.61,52.2,53.52,72.79,66.55,68.84,78.42,98.1,75.79,54.8,82.34,77.23,77.51
overall_acc,4,69.75,96.13,53.68,55.33,73.78,67.68,70.41,79.72,98.43,77.73,56.56,83.95,78.27,79.04
overall_acc,5,70.63,96.52,54.81,56.54,74.44,68.56,71.47,80.7,98.67,79.25,57.82,85.28,79.14,79.94
overall_mrr,MRR@5,64.72,93.3,47.6,48.69,68.94,62.88,64.77,74.92,96.82,70.8,50.27,78.14,73.92,74.19
