table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,65.43,92.04,50.21,49.46,71.55,64.28,62.64,76.22,96.9,73.77,50.9,80.12,75.47,74.47
overall_acc,2,71.93,95.0,59.0,57.74,77.49,70.99,69.21,81.54,98.22,81.22,58.87,85.17,81.05,79.54
overall_acc,3,73.38,95.41,61.27,59.51,78.48,72.62,70.7,82.55,98.39,82.57,60.54,85.76,82.12,80.75
overall_acc,4,73.82,95.48,62.09,59.95,78.78,73.1,71.18,82.84,98.41,83.03,60.97,85.93,82.41,81.13
overall_acc,5,73.97,95.49,62.35,60.13,78.88,73.25,71.36,82.96,98.43,83.2,61.17,86.01,82.51,81.33
overall_mrr,MRR@5,69.3,93.68,55.62,54.34,74.94,68.33,66.58,79.31,97.62,78.1,55.59,82.9,78.71,77.54
