table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,63.66,90.09,50.78,44.78,70.92,62.72,59.55,75.19,97.11,73.78,46.8,82.13,73.66,72.47
overall_acc,2,69.83,94.24,58.61,51.48,77.03,68.22,67.05,79.96,98.42,80.89,53.13,87.49,78.15,77.28
overall_acc,3,71.23,94.72,60.71,53.16,78.52,69.47,68.64,81.03,98.66,82.41,54.73,88.44,79.18,78.53
overall_acc,4,71.71,94.83,61.39,53.91,78.89,70.0,69.14,81.42,98.72,82.86,55.51,88.67,79.61,78.99
overall_acc,5,71.95,94.87,61.74,54.26,79.09,70.2,69.48,81.62,98.74,83.14,55.84,88.79,79.78,79.3
overall_mrr,MRR@5,67.38,92.36,55.63,48.95,74.6,66.06,64.02,78.07,97.87,78.01,50.76,85.2,76.39,75.47
