table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,67.04,93.23,51.27,52.47,68.44,66.85,66.26,76.54,97.34,71.72,54.38,75.11,76.94,76.93
overall_acc,2,73.26,96.07,59.69,60.32,72.84,73.44,73.24,81.4,98.73,78.19,61.84,79.28,82.02,81.94
overall_acc,3,74.69,96.61,61.85,62.0,73.75,74.94,74.96,82.41,98.9,79.56,63.51,79.87,83.1,83.16
overall_acc,4,75.14,96.69,62.58,62.58,74.05,75.42,75.49,82.74,98.95,79.98,64.09,80.05,83.41,83.65
overall_acc,5,75.32,96.7,62.9,62.81,74.11,75.62,75.72,82.86,98.95,80.16,64.31,80.11,83.53,83.83
overall_mrr,MRR@5,70.77,94.85,56.44,57.15,71.03,70.81,70.5,79.41,98.1,75.56,58.86,77.45,79.94,80.0
