table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,61.57,91.61,45.83,41.63,65.29,62.33,57.11,72.6,96.93,69.47,43.22,75.03,73.22,69.45
overall_acc,2,65.56,93.84,50.71,46.81,68.12,66.1,62.44,76.04,97.79,74.41,48.19,77.99,76.5,73.6
overall_acc,3,66.37,94.15,51.94,47.77,68.94,66.86,63.38,76.72,97.93,75.4,49.18,78.6,77.11,74.44
overall_acc,4,66.63,94.19,52.37,48.08,69.17,67.06,63.75,76.92,97.97,75.71,49.47,78.73,77.3,74.74
overall_acc,5,66.75,94.21,52.56,48.26,69.28,67.17,63.92,77.03,97.99,75.87,49.64,78.82,77.39,74.9
overall_mrr,MRR@5,63.92,92.84,48.82,44.65,67.06,64.54,60.22,74.62,97.42,72.38,46.14,76.76,75.13,71.91
