table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,67.47,94.57,52.57,50.45,70.43,67.17,65.64,75.48,96.47,71.28,52.21,78.35,75.24,73.62
overall_acc,2,71.85,96.39,58.86,55.72,75.22,70.96,70.8,79.23,97.88,76.58,57.08,82.64,78.33,78.18
overall_acc,3,73.01,96.77,60.58,57.23,76.21,72.02,72.3,80.23,98.12,77.97,58.59,83.4,79.21,79.6
overall_acc,4,73.44,96.85,61.31,57.71,76.55,72.45,72.8,80.59,98.18,78.58,59.04,83.65,79.59,80.02
overall_acc,5,73.64,96.9,61.64,57.94,76.66,72.66,73.05,80.77,98.21,78.87,59.25,83.71,79.79,80.23
overall_mrr,MRR@5,70.19,95.63,56.53,53.76,73.26,69.57,68.9,77.82,97.27,74.6,55.3,80.82,77.21,76.52
