table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,64.23,92.27,50.09,44.85,67.05,64.77,60.93,74.57,96.96,71.74,47.48,74.89,75.24,73.04
overall_acc,2,67.49,94.21,54.06,48.95,69.48,67.89,65.11,77.02,97.78,74.8,51.37,77.12,77.63,75.81
overall_acc,3,68.09,94.41,54.87,49.85,70.0,68.46,65.84,77.52,97.88,75.41,52.23,77.55,78.05,76.48
overall_acc,4,68.25,94.44,55.07,50.12,70.1,68.62,66.06,77.66,97.92,75.6,52.45,77.69,78.16,76.67
overall_acc,5,68.3,94.44,55.13,50.22,70.14,68.65,66.15,77.71,97.93,75.67,52.53,77.73,78.19,76.78
overall_mrr,MRR@5,66.11,93.31,52.41,47.29,68.47,66.56,63.34,76.01,97.41,73.54,49.78,76.19,76.61,74.72
