table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,47.51,92.35,8.65,38.85,47.26,44.18,54.02,59.05,94.39,36.6,40.99,67.72,54.06,61.48
overall_acc,2,49.79,94.44,9.31,43.6,50.06,45.75,57.2,62.5,96.42,40.49,45.81,72.74,56.38,65.81
overall_acc,3,50.11,94.62,9.45,44.39,50.36,45.96,57.76,62.98,96.6,41.04,46.61,73.25,56.72,66.54
overall_acc,4,50.18,94.66,9.48,44.56,50.44,46.0,57.9,63.1,96.65,41.17,46.8,73.38,56.78,66.73
overall_acc,5,50.2,94.67,9.49,44.61,50.46,46.01,57.93,63.13,96.65,41.21,46.85,73.42,56.8,66.77
overall_mrr,MRR@5,48.78,93.47,9.03,41.54,48.78,45.04,55.84,60.97,95.48,38.77,43.73,70.44,55.35,63.94
