table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,62.86,93.24,46.51,43.3,68.58,61.58,60.66,73.56,97.15,70.57,45.04,77.5,73.24,70.99
overall_acc,2,68.38,95.64,53.97,50.45,73.42,67.26,66.41,78.32,98.2,77.62,51.79,82.02,78.12,75.7
overall_acc,3,69.58,95.91,55.84,52.02,74.51,68.45,67.73,79.29,98.32,79.02,53.34,82.73,79.06,76.94
overall_acc,4,70.05,95.99,56.67,52.55,74.93,68.88,68.33,79.64,98.37,79.54,53.87,82.94,79.4,77.43
overall_acc,5,70.23,96.02,56.96,52.75,75.14,69.02,68.54,79.76,98.38,79.71,54.09,83.05,79.52,77.57
overall_mrr,MRR@5,66.17,94.56,51.13,47.57,71.51,64.95,64.17,76.38,97.73,74.73,49.11,80.07,76.1,73.91
