table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,68.2,92.1,52.79,56.29,71.01,67.71,66.85,78.3,97.17,73.82,58.33,79.12,78.48,77.27
overall_acc,2,74.45,95.48,60.98,63.86,77.17,73.9,73.28,83.21,98.55,80.66,65.49,84.82,82.98,82.32
overall_acc,3,75.79,95.88,63.24,65.22,78.7,75.05,74.82,84.2,98.71,82.22,66.83,85.84,83.84,83.54
overall_acc,4,76.27,95.98,64.04,65.8,79.23,75.48,75.37,84.59,98.78,82.79,67.44,86.21,84.19,84.03
overall_acc,5,76.47,96.01,64.37,66.07,79.39,75.66,75.65,84.74,98.79,83.0,67.68,86.32,84.34,84.21
overall_mrr,MRR@5,71.93,93.96,57.91,60.73,74.77,71.33,70.77,81.21,97.93,77.95,62.56,82.42,81.14,80.36
