table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,65.66,93.17,52.71,45.39,74.48,62.83,63.89,75.84,97.12,75.15,47.33,83.54,73.75,73.54
overall_acc,2,71.2,95.92,59.89,52.53,79.13,68.62,69.66,80.44,98.43,81.33,54.32,87.57,78.64,78.06
overall_acc,3,72.54,96.46,61.81,54.19,80.13,69.94,71.32,81.49,98.69,82.7,56.02,88.22,79.64,79.54
overall_acc,4,73.02,96.6,62.5,54.83,80.5,70.41,71.9,81.84,98.74,83.12,56.69,88.4,80.0,80.02
overall_acc,5,73.22,96.66,62.81,55.08,80.64,70.59,72.2,81.99,98.77,83.3,56.96,88.51,80.14,80.21
overall_mrr,MRR@5,69.04,94.77,57.18,49.72,77.26,66.32,67.53,78.6,97.88,78.84,51.61,85.84,76.65,76.45
