table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,57.87,90.54,39.73,37.59,62.87,56.27,56.86,69.03,95.25,64.54,38.92,72.08,68.58,67.42
overall_acc,2,65.36,94.79,49.07,47.01,71.46,63.11,64.69,76.77,98.05,76.28,48.0,82.9,75.47,74.27
overall_acc,3,68.44,96.2,53.15,51.02,74.58,66.0,68.08,79.55,98.84,80.21,51.96,85.99,78.06,77.17
overall_acc,4,70.28,96.96,55.62,53.48,76.47,67.7,70.15,81.11,99.16,82.35,54.43,87.72,79.46,78.89
overall_acc,5,71.48,97.4,57.34,55.04,77.83,68.75,71.51,82.13,99.32,83.89,55.92,88.96,80.33,79.99
overall_mrr,MRR@5,63.34,93.41,46.72,44.56,68.95,61.29,62.69,74.42,97.03,72.56,45.69,79.2,73.41,72.46
