table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,29.65,68.18,4.35,11.08,31.46,30.12,27.28,43.91,80.79,29.62,12.53,49.31,44.41,38.61
overall_acc,2,35.39,78.85,6.23,15.33,36.61,35.02,35.13,56.36,92.27,48.67,17.22,65.89,55.21,50.81
overall_acc,3,38.5,84.21,7.29,18.13,39.65,37.54,39.39,62.18,96.47,58.14,20.28,72.48,60.79,56.49
overall_acc,4,40.6,87.68,8.0,20.25,41.57,39.22,42.44,65.32,98.2,63.32,22.55,75.53,63.86,59.81
overall_acc,5,42.15,90.11,8.48,22.03,43.12,40.3,44.86,67.19,99.02,66.28,24.39,77.2,65.76,61.79
overall_mrr,MRR@5,34.39,76.65,5.92,15.03,35.84,34.05,33.87,53.23,88.53,44.19,16.83,60.89,52.81,47.83
