table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,67.46,92.7,51.63,54.3,69.23,67.59,65.79,77.34,96.83,73.05,56.29,76.36,77.97,76.96
overall_acc,2,71.82,94.8,57.65,59.48,73.28,72.18,69.94,80.73,97.79,77.82,61.14,79.82,81.4,80.2
overall_acc,3,72.66,95.03,59.04,60.41,74.03,72.98,70.93,81.32,97.92,78.66,62.04,80.37,81.94,80.94
overall_acc,4,72.88,95.08,59.44,60.62,74.18,73.19,71.23,81.49,97.96,78.94,62.21,80.46,82.11,81.15
overall_acc,5,72.95,95.11,59.58,60.68,74.23,73.26,71.34,81.55,97.99,79.04,62.27,80.51,82.17,81.24
overall_mrr,MRR@5,69.99,93.84,55.23,57.26,71.55,70.22,68.29,79.29,97.37,75.8,59.07,78.31,79.92,78.89
