table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,61.61,90.41,45.48,43.91,67.4,60.09,59.81,71.85,94.99,67.73,45.47,76.25,70.81,70.25
overall_acc,2,66.9,93.79,51.58,50.74,72.67,65.04,65.73,76.79,96.84,74.53,52.16,82.53,75.24,75.1
overall_acc,3,68.66,94.83,53.63,53.09,74.3,66.78,67.65,78.53,97.43,76.99,54.49,84.83,76.73,76.84
overall_acc,4,69.59,95.31,54.81,54.3,75.14,67.65,68.77,79.44,97.71,78.32,55.72,86.02,77.47,77.85
overall_acc,5,70.34,95.67,55.78,55.3,75.74,68.41,69.64,80.16,97.91,79.36,56.7,87.1,78.04,78.56
overall_mrr,MRR@5,65.22,92.64,49.7,48.61,70.91,63.51,63.86,75.27,96.22,72.49,50.1,80.67,73.82,73.65
