table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,61.7,91.37,46.54,41.47,64.67,61.38,59.9,72.51,96.59,69.56,43.24,72.97,73.0,71.2
overall_acc,2,66.05,93.82,52.15,46.74,68.13,65.89,64.69,76.05,97.59,74.54,48.32,76.32,76.5,74.97
overall_acc,3,66.97,94.11,53.58,47.8,68.96,66.8,65.68,76.76,97.8,75.5,49.38,76.93,77.21,75.77
overall_acc,4,67.21,94.15,53.98,48.1,69.16,67.04,65.95,76.97,97.84,75.83,49.66,77.09,77.41,76.02
overall_acc,5,67.31,94.18,54.13,48.23,69.24,67.13,66.08,77.06,97.85,75.95,49.81,77.14,77.51,76.13
overall_mrr,MRR@5,64.26,92.71,49.95,44.56,66.74,64.02,62.72,74.59,97.17,72.48,46.23,74.9,75.06,73.44
