table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,67.53,93.52,53.66,50.64,72.3,67.08,64.54,75.53,95.58,72.14,52.45,80.45,74.84,72.87
overall_acc,2,72.28,95.96,60.06,56.28,77.87,71.05,70.08,79.64,97.58,77.59,57.66,85.1,78.2,77.97
overall_acc,3,73.35,96.38,61.61,57.61,78.68,72.04,71.52,80.55,97.89,78.81,58.95,85.7,79.06,79.2
overall_acc,4,73.79,96.48,62.33,58.13,78.94,72.5,72.05,80.9,97.96,79.35,59.45,85.88,79.4,79.72
overall_acc,5,73.99,96.53,62.65,58.38,79.09,72.7,72.31,81.09,97.99,79.65,59.68,86.0,79.57,80.0
overall_mrr,MRR@5,70.41,94.92,57.62,54.08,75.45,69.55,67.97,78.02,96.71,75.47,55.66,83.04,76.93,76.01
