table,k,em,BuiltIn_em,Constructed_em,UserDefined_em,ret_em,var_em,arg_em,bm,BuiltIn_bm,Constructed_bm,UserDefined_bm,ret_bm,var_bm,arg_bm
overall_acc,1,66.95,92.94,50.79,53.17,69.39,67.46,64.02,77.34,97.37,73.21,55.22,77.62,78.1,75.65
overall_acc,2,71.26,95.01,56.72,58.33,72.47,71.9,69.06,80.49,98.13,77.63,59.96,80.08,81.31,79.27
overall_acc,3,72.03,95.22,58.04,59.12,73.05,72.65,70.02,81.04,98.23,78.5,60.71,80.43,81.78,80.13
overall_acc,4,72.28,95.27,58.52,59.35,73.23,72.89,70.36,81.2,98.25,78.75,60.93,80.53,81.94,80.34
overall_acc,5,72.38,95.28,58.72,59.44,73.3,72.97,70.52,81.26,98.27,78.83,61.02,80.56,81.99,80.45
overall_mrr,MRR@5,69.45,94.06,54.35,56.09,71.18,70.01,66.98,79.15,97.79,75.79,57.92,79.0,79.91,77.82
